,phrase,target
367, 2010-Kemira unveils Indian JV with IVRCL Finnish chemicals group Kemira ( HEL : KRA1V ) on Tuesday announced it has inked a deal to form a joint venture in India with local construction firm IVRCL Infrastructure and Projects Ltd ( BOM :530773 ) ,positive
368,The actions are expected to deliver annual cost savings of some EUR15-20m ,positive
369,Uponor improved its performance in spite of the decrease in residential construction in the US ,positive
370,Operating profit improved by 44.0 % to ER 4.7 mn from EUR 3.3 mn in 2004 ,positive
371,Finnish software developer Done Solutions Oyj said its net profit increased to 3.5 mln euro ( $ 4.6 mln ) in 2006 from 2.3 mln euro ( $ 3.0 mln ) in 2005 ,positive
372,Finnish Outokumpu Technology has been awarded several new grinding technology contracts ,positive
373,Finnish consumer packaging manufacturer Huhtamaki Oyj said it swung to a net profit of 84.1 mln euro $ 105.6 mln in the first nine months of 2006 from a net loss of 2.6 mln euro $ 3.3 mln in the same period of 2005 ,positive
374, up from EUR 33.9 mn in the corresponding period in 2006 ,positive
375, in afternoon trade ,positive
376,1 February 2011 - Finnish textile and clothing company Marimekko Oyj HEL : MMO1V said today its preliminary operating profit grew to EUR8 .2 m in 2010 from EUR6 .3 m in 2009 ,positive
377,Clothing chain Sepp+ï¿½l+ï¿½ 's net sales increased by 7.0 % to EUR 30.8 mn ,positive
378, up from a loss of EUR 4.0 mn in the second quarter of 2009 ,positive
379, 2008 - Finnish security and privacy software solutions developer Stonesoft Oyj said today that it won a USD 1.9 million ( EUR 1.3 m ) order to deliver its StoneGate network security products to an unnamed Russian t,positive
380, up from the loss of EUR0 .083 ,positive
381, representing 9.7 % of net sales ,positive
382, SEB said its net profit soared to SEK6 .745 bn in 2010 from a year-earlier SEK1 .114 bn and proposed a 50 % dividend increase to SEK1 .50 per share ,positive
383, while Royal Bank of Scotland ( RBS ) shares rose 2 % and Barclays shares ( BARC ) ( BCS ) were up 1.7 % ,positive
384, which made 2007 a record year ,positive
385, United Arab Emirates and Qatar worth 40 mln eur ,positive
386,Profit for the period increased from EUR 2.9 mn to EUR 10.5 mn ,positive
387, up 23 % from EUR 113.8 mn ,positive
388,Operating profit rose from EUR 1.94 mn to EUR 2.45 mn ,positive
389, the market share of Tallink in terms of passenger carriage through Tallinna Sadam Port of Tallinn totaled 55 percent in November against 45.7 percent in November 2005 ,positive
390, up from EUR 0.3 mn loss in 2008 ,positive
391, the chairman of the UK snacks firm told just-food today 10 February ,positive
392,259.7 million ,positive
393, up from EUR3 .3 m in the corresponding period in 2007 ,positive
394, Malaysia ,positive
395,LONDON MarketWatch -- Nokia nok said it 's won a five-year services contract to run Hutchison Essar 's network operations in nine locations in India ,positive
396,The company also said that in Poland a profitability program has been launched at the Oborniki steel frame and sandwich panel plant ,positive
397,Earnings per share were higher at 0.48 against 0.37 a year before and ahead of market consensus of 0.40 eur ,positive
398, the group 's net sales from continuing operations rose to EUR 213.1 mn from EUR 172.6 mn in the corresponding period in 2006 ,positive
399, that it has sufficient financial instruments at its disposal for its potential capital requirements ,positive
400, the airline reported Tuesday ,positive
401,HELSINKI AFX - KCI Konecranes said it has won an order for four hot metal ladle cranes from Indian steel producer Bhushan Steel and Strips Ltd. ,positive
402, representing an increase of 32 % from the corresponding period in 2009 ,positive
403, compared to a negative EUR 0.83 mn in the corresponding period in 2008 ,positive
404,The transactions would increase earnings per share in the first quarter by some EUR0 .28 ,positive
405, as beer sales for the seven months jumped by 14.5 percent to 40.5 million liters ,positive
406,The rationalization of the operations seeks to achieve over EUR 1 million in yearly savings as from the second quarter of the current financial year ,positive
407, and operating profit by 34.9 % to EUR 23.5 mn ,positive
408,10 February 2011 - Finnish media company Sanoma Oyj HEL : SAA1V said yesterday its 2010 net profit almost tripled to EUR297 .3 m from EUR107 .1 m for 2009 and announced a proposal for a raised payout ,positive
409,Finnish Aktia Group 's operating profit rose to EUR 17.5 mn in the first quarter of 2010 from EUR 8.2 mn in the first quarter of 2009 ,positive
410, 2008 - Finnish printed circuit board PCB maker Aspocomp Group Oyj OMX : ACG1V said today that its net loss narrowed to EUR 2 million USD 2.5 m in the first nine months of 2008 from EUR 5,positive
411,The bank sees a potential for Getinge share to rise ,positive
412,Operating profit rose to EUR 13.5 mn from EUR 9.7 mn in the corresponding period in 2006 ,positive
413, compared to a loss of EUR 12.7 mn in the corresponding period in 2009 ,positive
414,Orion Pharma 's operating profit increased by 42.5 % from 2004 ,positive
415, a rise of 4.5 per cent from the year-earlier figure of 245.92 million liters ,positive
416,Construction volumes meanwhile grow at a rate of 10-15 percent annually ,positive
417, Finnlines ' net sales rose to EUR 505.4 mn from EUR 473.5 mn in the corresponding period in 2006 ,positive
418, up from 48.6 mln on the back of strong sales ,positive
419, this makes Nokia 's portfolio competitive again ,positive
420, up 9.7 % on the same period in 2009 ( EUR61 .9 m ) ,positive
421, `` it 's double the size of our current shop and has a lovely feel to it . ',positive
422, and order books are strong to the end of the year ,positive
423,First quarter underlying operating profit rose to 41 mln eur from 33 mln a year earlier ,positive
424,Stora Enso 's third-quarter pre-tax profit doubled to EUR 197mn ,positive
425, and pretax profit to EUR 46.4 mn from EUR 35.8 mn in the third quarter of 2006 ,positive
426, won the five-year deal which involves low maintenance and fuel saving technologies ,positive
427, the company 's operating profit grew by 43.2 % to EUR 6 million ,positive
428,The robust growth was the result of the inclusion of clothing chain Lindex in the Group in December 2007 ,positive
429,It therefore seems that Finnish shipping company Viking Line will get the subsidy it needs to order its new LNG-fuelled vessel ,positive
430, saw sales grow by 17.1 pct ,positive
431, and net income from non-life insurance rose to EUR 5.2 mn from EUR 1.5 mn in the corresponding period in 2009 ,positive
432, net sales in 2010 are seen to have grown to EUR598 .3 m from EUR582 .3 m in 2009 ,positive
433, up from EUR 43.3 mn in the second quarter of 2009 ,positive
434, or by 6 % at comparable currency rates growth ,positive
435,Finnish office supplies and computer accessories dealer Beltton-Group Plc said its net profit rose to 1.3 mln euro ( $ 1.7 mln ) in 2006 from 1.13 mln euro ( $ 1.5 mln ) in 2005 ,positive
436,Operating profit rose to 22.1 mln eur from 19.9 mln ,positive
437, Talvivaara 's net loss narrowed to EUR 8.3 million from EUR 21.9 million for the same period of 2009 ,positive
438, giving new life to a possible counter offer from Blackstone Group LP and Norwegian telecom Telenor ASA ,positive
439,0,positive
440,Diluted earnings per share ( EPS ) rose to EUR 1.05 from EUR 0.64 ,positive
441,The company anticipates its turnover for the whole 2010 to surpass that of the previous year when it was EUR 67.1 million ,positive
442,000 ) for the same period of 2006 ,positive
443,The operating profit for Grain Trading increased to EUR 2.0 mn from EUR 1.4 mn in 2005 ,positive
444, an increase of 23 % over 2006 ,positive
445,Diluted earnings per share ( EPS ) rose to EUR 0.52 versus EUR 0.09 ,positive
446, Russia ,positive
447, 2010 EPHC board of directors has approved an increase in the quarterly dividend from $ 0.03 to $ 0.05 per share ,positive
448, as compared to the financial year 2004 ,positive
449, compared to $ 10.46 - bbl in the prior year ,positive
450, and that favourable trends in net sales will lead to a profit in 2009 ,positive
451,116 cargo units ,positive
452, as compared to 2005 ,positive
453, as compared to the corresponding period in 2006 ,positive
454, the company said Thursday ,positive
455,Satama 's net sales would be higher than the year before ,positive
456,The company is well positioned in Brazil and Uruguay ,positive
457, up from EUR 54.9 mn in the corresponding period in 2009 ,positive
458,Consolidated operating profit from continuing operations decreased by 62.3 % to EUR 51.2 mn from EUR 135.7 mn in 2007 ,negative
459, compared to a profit of EUR 17.7 mn in the first half of 2008 ,negative
460,Cramo slipped to a pretax loss of EUR 6.7 million from a pretax profit of EUR 58.9 million ,negative
461, so a fall in consumption will lead to losses ,negative
462, which was a drop of 12.6 % from the same period of 2008 ,negative
463,`` Capital expenditure on energy efficiency has unfortunately fallen along with the decline in the economy ,negative
464, 2009 - Finnish mobile phones maker Nokia Oyj ( OMX : NOK1V ) said today its operating profit decreased to EUR 5 billion ( USD 6.5 bn ) for 2008 from EUR 8 billion for 2007 ,negative
465,Operating profit in the fourth quarter fell to EUR33m from EUR39m a year earlier ,negative
466, sales decreased by 22.5 % to EUR 201.4 mn ,negative
467, down from EUR 1.6 mn in the third quarter of 2008 ,negative
468,Diluted earnings per share ( EPS ) stood at EUR 0.25 versus EUR 0.42 ,negative
469,Comparable operating profit decreased to EUR 13.8 mn from EUR 17.1 mn in the corresponding period in 2005 ,negative
470, representing 7.4 % of net sales ,negative
471, down from EUR 9.7 mn in the first half of 2008 ,negative
472,047.4 mn in 2007 ,negative
473, compared to nearly EUR 20mn in the previous accounting period ,negative
474,Talentum 's net sales in September were smaller than expected ,negative
475, down from EUR 1.3 mn ,negative
476, 2010 - Finnish cutlery and hand tools maker Fiskars Oyj Abp ( HEL : FISAS ) said today its net profit declined to EUR 12.9 million ( USD 17m ) in the first quarter of 2010 from EUR 17 million in the correspon,negative
477,Net profit fell by almost half to +ï¿½ 5.5 million from +ï¿½ 9.4 million at the end of 2007 ,negative
478, slightly down from 16.5 mn in 2006 ,negative
479,Diluted earnings per share ( EPS ) declined to EUR 0.78 from EUR 1.76 ,negative
480,Reported operating margin was a negative 5.9 % ,negative
481,The company said that sales in the three months to the end of March slid to EUR86 .4 m US$ 113.4 m from EUR91 .2 m last year ,negative
482,Cash flow from operations in January-December 2008 was a negative EUR 18.1 mn compared to EUR 39.0 mn in the corresponding period in 2007 ,negative
483, down from EUR 7.2 mn in the corresponding period in 2005 ,negative
484, however ,negative
485, down from EUR13 .8 m a year ago ,negative
486,000 euro $ 1.2 mln for the same period of fiscal 2005-06 ,negative
487, down from EUR 42.0 mn the year before ,negative
488,The fair value of the company 's investment properties went down to EUR 2.768 billion at the end of 2009 from EUR 2.916 billion a year earlier ,negative
489, and the operating profit margin will be lower than in 2008 due to lower sales volume ,negative
490, down from EUR 4.5 mn in the corresponding period in 2005 ,negative
491,Scanfil has also issued a profit warning ,negative
492, Schindler AG and Kone Oyj a total of 992.3 mln eur for alleged cartel activity in the lift market going back twelve years ,negative
493, while sales outside Finland dropped by 17 % ,negative
494, down from EUR 3.56 mn in the first quarter of 2008 ,negative
495,11 August 2010 - Finnish measuring equipment maker Vaisala Oyj HEL : VAIAS said today that its net loss widened to EUR4 .8 m in the first half of 2010 from EUR2 .3 m in the corresponding period a year earlier ,negative
496, the Finnish company said ,negative
497, released today ,negative
498, Russia and the Baltic countries ,negative
499,The real estate company posted a net loss of +ï¿½  x201a -ï¿½ 59.3 million +ï¿½  x201a -ï¿½ 0.21 per share compared with a net profit of +ï¿½  x201a -ï¿½ 31 million +ï¿½  x201a -ï¿½ 0.11 per share for the corresponding quarter of 2007 ,negative
500,Operating profit excluding non-recurring items was EUR 7.8 million compared to EUR 11.2 million ,negative
501, and restructuring costs in Japan ,negative
502,Earnings per share EPS in 2005 decreased to EUR0 .66 from EUR1 .15 in 2004 ,negative
503, down 2 percent from 28.1 billion in the fourth quarter in 2008 ,negative
504,Pretax loss totaled EUR 117mn compared to a loss of EUR 65mn in the corresponding period ,negative
505, down 50 percent from the start of the year in part because of the slow introduction of touch-screen models ,negative
506, the orders received during the period under review fell by 17 % quarter-on-quarter from the EUR 213 million recorded in the second quarter of 2010 ,negative
507,561 tonnes in September 2009 ,negative
508,- Net sales for the period are expected to fall well below that of last year and the result after non-recurring items is expected to be in the red ,negative
509, reports its net sales decreased to EUR 241.8 mn in January-June 2009 from EUR 384.0 mn in the corresponding period in 2008 ,negative
510,Pharmaceuticals group Orion Corp reported a fall in its third-quarter earnings that were hit by larger expenditures on R&D and marketing ,negative
511, 2009 - Finnish media group Ilkka-Yhtyma Oyj HEL : ILK2S said today its net profit fell 45 % on the year to EUR 5.9 million USD 8.4 m in the first half of 2009 ,negative
512, coming at the lead of the blue-chip fallers ,negative
513,Relations with the City have been further damaged by comments from Mr Ashley criticising City investors and analysts as `` cry babies '' ,negative
514,Earnings per share ( EPS ) dropped to EUR 0.21 from EUR 0.31 ,negative
515,down to EUR5 .9 m H1 '09 3 August 2009 - Finnish media group Ilkka-Yhtyma Oyj ( HEL : ILK2S ) said today its net profit fell 45 % on the year to EUR5 .9 m in the first half of 2009 ,negative
516,Finnish media group Talentum has issued a profit warning ,negative
517,Net sales dropped by 6 % year-on-year to EUR 11.9 million ,negative
518,Operating profit decreased to EUR 11.2 mn from EUR 16.6 mn ,negative
519, 2010 - Finnish real estate investor Sponda Oyj HEL : SDA1V said today that it slipped to a net loss of EUR 81.5 million USD 11.8 m in 2009 from a profit of EUR 29.3 million in 2008 ,negative
520,The operating margin of Aker Yards Cruise & Ferries division went down from 8.3 % to 6.4 % in the first quarter of 2007 ,negative
521, down from EUR 2.7 mn in the corresponding period in 2008 ,negative
522, said today it slipped to a larger-than-expected pretax loss of EUR46m in the fourth quarter of 2009 from a year-earlier profit of EUR45m ,negative
523,Sanoma News ' advertising sales decreased by 22 % during the year ,negative
524,The net sales decreased to EUR 49.8 million from EUR 59.9 million ,negative
525, the growth margin slowed down due to the financial crisis ,negative
526, after a potential suitor ruled itself out of a takeover bid ,negative
527,Operating loss totaled EUR 0.3 mn compared to a profit of EUR 2.2 mn in the corresponding period in 2007 ,negative
528, according to the company ,negative
529, down from EUR46m ,negative
530,Finnish meat company Atria can no longer promise a sufficient amount of domestic beef to its customers ,negative
531,Finnish business software group AffectoGenimap Oyj said its net profit halved to 1.2 mln euro ( $ 1.5 mln ) in the first nine months of 2006 from 2.2 mln euro ( $ 2.8 mln ) in the same period of 2005 ,negative
532,The sales of the Tiimari segment fell by 4.0 % year-on-year to EUR3 .3 m in June 2010 ,negative
533,Finnair said that the cancellation of flights would cause daily losses of  x20ac 2.5 million US$ 3 million ,negative
534, down from EUR 1.6 mn ,negative
535, compared to a profit of EUR 0.5 mn ,negative
536,256.02 on turnover of 813.191 mln eur ,negative
537, including the costs of stranded passengers ' accommodation ,negative
538, down from EUR2 .30 ,negative
539, and imports by 16.7 % ,negative
540,Finnair 's total traffic decreased by 8.7 % in terms of revenue passenger kilometres ,negative
541,Vaisala 's net profit for the third quarter of 2007 dropped to 3.0 mln euro ( $ 4.3 mln ) from 6.8 mln euro ( $ 9.8 mln ) for the same period of 2006 ,negative
542, net sales decreased to EUR 121.4 mn from EUR 165.5 mn in the fourth quarter of 2007 ,negative
543,Cash Flow from Operations for the most recent quarter also reached a eight year low ,negative
544, down 30.9 % year-on-year ,negative
545,Net sales decreased to EUR 220.5 mn from EUR 470.0 mn in the corresponding period in 2009 ,negative
546,Finnish metal products company Componenta Oyj net profit went slightly down to 25.1 mln euro ( $ 40.2 mln ) for the first half of 2008 from 25.4 mln euro ( $ 40.7 mln ) for the same period of 2007 ,negative
547, compared to a loss of EUR 3.4 mn in the corresponding period in 2008-2009 ,negative
548, lead and nickel also dropped ... HBOS ( HBOS ) plummeted 20 % to 70.3 pence after saying this year+ï¿½ ?,negative
549,Okmetic expects its net sales for the first half of 2009 to be less than in 2008 ,negative
550,EPS dropped to EUR0 .2 from EUR0 .3 ,negative
551,Pretax profit decreased to EUR 33.8 mn from EUR 40.8 mn in the fourth quarter of 2005 ,negative
552,Finnish technology company Raute Corporation ( OMX Helsinki : RUTAV ) issued on Tuesday ( 23 September ) a profit warning for the financial year 2008 ,negative
553, representing a decrease of 5.5 % from October 2008 ,negative
554,000 for the same per,negative
555,Orion 's net profit for the third quarter of 2007 decreased to 36.5 mln euro ( $ 52.1 mln ) from 40.3 mln euro ( $ 57.5 mln ) a year earlier ,negative
556,000 euro ( $ 1.2 mln ) for the first quarter of 2007 from 2.0 mln euro ( $ 2.7 mln ) a year earlier ,negative
557, resulting in a decline in demand for its products as customers find it increasingly difficult to fund operations ,negative
558, totalling EUR 154.1 mn ,negative
559, Atria revealed that the company 's third quarter profits declined from EUR13 .9 m in the third quarter of last year to EUR12 .7 m in this year 's Q3 ,negative
560,The Group 's order portfolio decreased from EUR 42.9 mn in 9-2007 to EUR 33.3 mn in 2-2008 ,negative
561,Operating loss totaled EUR 25mn compared to a profit of EUR 63mn in the corresponding period in 2005 ,negative
562, down from EUR 321.6 mn in 2005 ,negative
563,Repeats sees 2008 operating profit down y-y ( Reporting by Helsinki Newsroom ) Keywords : TECNOMEN-RESULT,negative
564, expects changes in the market situation to reduce sales of Suominen 's nonwovens and wet wipes from the previously estimated volumes ,negative
565, down from EUR 60.1 mn a year before ,negative
566,Finnish investment group Norvestia Oyj said its net profit fell to 23.5 mln euro $ 30.6 mln in 2006 from 33.5 mln euro $ 43.6 mln in 2005 ,negative
567,Finnish glass technology company Glaston Oyj Abp net profit decreased to 2.6 mln euro ( $ 3.8 mln ) for the first nine months of 2007 from 7.8 mln euro ( $ 11.4 mln ) for the same period of 2006 ,negative
568, down from a net profit of euro13 million a year earlier ,negative
569, decreased to EUR 161.5 mn from EUR 164.1 mn in January-September 2005 ,negative
570,566 mn a year earlier ,negative
571, the company 's performance in the first quarter of 2010 has remained clearly below the level of the corresponding period in 2009 ,negative
572,Profit before taxes decreased to EUR 31.6 mn from EUR 50.0 mn the year before ,negative
573, the city of Forssa has said it will not pay compensation to food industry companies HK Ruokatalo and Atria for the lye leak into tap water that occurred in March 2008 ,negative
574, down from a profit of EUR 2.7 mn ,negative
575,The situation of coated magazine printing paper will continue to be weak ,negative
576,LONDON MarketWatch -- Share prices ended lower in London Monday as a rebound in bank stocks failed to offset broader weakness for the FTSE 100 ,negative
577,The fair value of the company 's investment properties went down to EUR2 .769 bn at the end of September 2009 from EUR2 .878 bn a year earlier ,negative
578, down 2.2 % from the corresponding period in 2004-2005 ,negative
579, down from EUR 14.3 mn in 2009 ,negative
580, the net sales declined to EUR 803.6 million from EUR 1.2 billion ,negative
581, down from EUR 168.8 mn in the corresponding period in 2008 ,negative
582, diluted loss per share stood at EUR0 .3 versus EUR0 .1 in the first half of 2009 ,negative
583, the market declined by 10.2 percent year-on-year to 19.28 million liters ,negative
584, the company saw its net profit for the third quarter down to EUR1 .4 m from EUR1 .5 m for the corresponding period of 2009 ,negative
585,Sales by Seppala diminished by 6 per cent ,negative
586,Operating profit for continuing operations fell to EUR 48.3 mn from EUR 72.4 mn in the first half of 2007 ,negative
587, for the whole 2010 to be slightly lower than in 2009 ,negative
588, down from EUR 62.4 mn a year earlier ,negative
589, down 15.2 % year-on-ye,negative
590,Net sales have been eaten by the weak US dollar ,negative
591,Loss for the period totalled EUR 15.6 mn compared to a profit of EUR 6.3 mn in 2008 ,negative
592, compared to a profit of EUR 0.6 mn a year ago ,negative
593, compared to EUR 35.8 mn in the corresponding period in 2007 ,negative
594, compared to EUR 207.1 mn a year earlier ,negative
595,The move was triggered by weak demand for forestry equipment and the uncertain market situation ,negative
596,Net sales fell by 5 % from the previous accounting period ,negative
597, as compared to 2004 ,negative
598, compared to a net profit of 7.1 mln euro $ 9.8 mln for the same period of 2006 ,negative
599,23 April 2010 - Finnish construction and engineering company Outotec Oyj HEL : OTE1V said today it slipped to a net loss of EUR7 .3 m in the first quarter of 2010 from a net profit of EUR12 .5 m in the corresponding period last year ,negative
600, especially in Germany ,negative
601, 2009 - Finnish broadband data communication systems and solutions company Teleste Oyj ( HEL : TLT1V ) said today its net profit decreased to EUR 5.5 million ( USD 7.2 m ) for 2008 from EUR 9.4 million for 20,negative
602, reports its net sales decreased by 0.6 % in the second quarter of 2010 to EUR 19.2 mn from EUR 19.3 mn in the corresponding period in 2009 ,negative
603,L&T 's net profit for the whole 2010 dropped to EUR 36 million from EUR 45 million for 2009 ,negative
604, sales of new passenger cars and light commercial vehicles in the country declined by 5.4 % year-on-year last month ,negative
605, compared to a loss of EUR 15.4 mn in the corresponding period in 2008 ,negative
606, dropping by 1.8 % to an 11.1 % share overall ,negative
607, compared to 8.4 mln euro $ 10.9 mln for 2005 ,negative
608, compared to a profit of EUR 1.3 mn in the corresponding period in 2008 ,negative
609, compared to 14.3 % in Q2 2009 ,negative
610, representing a decrease of 6 % ,negative
611, as well as the operating margin target from the current 34-35 pct ,negative
612,Finnish communication electronics components supplier Scanfil Oyj Tuesday said sales in the first half of 2006 will be 15 % lower than during the same period a year ago ,negative
613,The company reported today an operating loss of EUR0 .1 m on net sales of EUR4 .5 m for the first quarter 2008 ,negative
614, Finnair estimates to incur a net loss of between EUR2m and EUR2 .5 m per day ,negative
615, down from EUR 43.8 mn a year earlier ,negative
616, primarily based on work carried out under the contract and additional costs incurred due to prolongation of the project ,negative
617,Prices and delivery volumes of broadband products decreased significantly in 2005 ,negative
618, in Frankfurt trade to EUR10 .65 as investors gave up hope United Internet AG and Drillisch would pursue their own takeover and breakup of Freenet ,negative
619, Comptel slipped to a net loss of EUR2 .1 m from a profit of EUR6 .6 m in the previous year ,negative
620, compared to a profit of EUR 0.3 mn in the third quarter of 2008 ,negative
621,Scanfil issued a profit warning on 10 April 2006 ,negative
622, and by 10.7 % in terms of local currency ,negative
623,000 in January-March 2009 ,negative
624, representing a drop of 29 percent year on year ,negative
625, down from EUR 111.1 mn a year earlier ,negative
626,Operating profit fell to EUR 20.3 mn from EUR 74.2 mn in the second quarter of 2008 ,negative
627, raw materials and transportation ,negative
628, partly due to the termination of the printing contract between Ilkka-Yhtyma 's printing house I-print Oy and sector player HSS Media AB in December 2009 and the fall in printing prices ,negative
629, down from 14.4 % in the first quarter of 2008 ,negative
630,Device volume in the area decreased by 21 % to 2.7 mn units ,negative
631,The company slipped to an operating loss of EUR 2.6 million from a profit of EUR 1.3 million ,negative
632,000 in the corresponding period a year earlier ,negative
633, down from EUR 1.1 mn in the corresponding period in 2008 ,negative
634, compared to EUR 30.9 mn in 2009 ,negative
635, compared to a profit of EUR 3.7 mn a year earlier ,negative
636, down from EUR 232.9 mn a year ago ,negative
637, higher costs and a strong euro hurt revenue ,negative
638, down from  0.9 m as Glisten invested in the brand and the management team ,negative
639, including vessel sales gain of EUR 12.3 mn ,negative
640, compared to a profit of EUR 8.6 mn in the second quarter of 2008 ,negative
641, and now consumer prices are going down almost daily due to competition ,negative
642, against EPS of EUR0 .74 in the corresponding period of 2008 ,negative
643,Earnings per share ( EPS ) in 2005 decreased to EUR1 .87 from EUR1 .89 in 2003 ,negative
644, lost about $ 3.5 million in Madoff Ponzi scheme ,negative
645, '' he added ,negative
646, sales fell by 42.6 % ,negative
647, as well as currency factors ,negative
648, down 4 percent from 2007 ,negative
649, the company 's 2005 result will remain weaker than that of 2004 ,negative
650,Finnish laboratory liquid handling and diagnostic test systems developer Biohit Oyj OMX Helsinki : BIOBV issued on Tuesday 3 June a profit warning for the financial year 2008 ,negative
651, down from EUR 4.9 mn ,negative
652,Finnish Bank of +ï¿½land reports its operating profit fell to EUR 4.9 mn in the third quarter of 2007 from EUR 5.6 mn in the third quarter of 2006 ,negative
653,Operating profit fell to EUR 15.1 mn from EUR 24.6 mn in 2006 ,negative
654,UPM stock fell 3 percent to EURO 12.49 $ 17.24 in early afternoon trading in Helsinki ,negative
655, compared to 11.8 % a year earlier ,negative
656, and by 15.1 % in terms of local currencies ,negative
657, negative impact on the revenue ,negative
658,Ruukki Group calculates that it has lost EUR 4mn in the failed project ,negative
659, compared to EUR 4.6 mn in the third quarter of 2007 ,negative
660, 2009 - Finnish construction company Lemminkainen Oyj ( HEL : LEM1S ) said today its net profit decreased to EUR 63.5 million ( USD 81.1 m ) for 2008 from EUR 80.6 million for 2007 ,negative
661,Sales of mid-strength beer decreased by 40 % ,negative
662,Return on investment ROI was 4.1 % compared to 43.8 % in the first half of 2008 ,negative
663, and international sales fell by 19 % ,negative
664, '' Mr Meiklejohn said ,negative
665,Market share decreased on the route between Helsinki in Finland and Tallinn in Estonia by 0.1 percentage points to 24.8 % ,negative
666,Stora Enso Oyj said its second-quarter result would fall by half compared with the same period in 2007 ,negative
667,425.1 mn in January-June 2008 ,negative
668,Finnish developer and manufacturer of mobile phone chargers Salcomp Plc OMX Helsinki : SAL1V on Wednesday 19 November lowered its full-year net sales estimate ,negative
669,Operating profit fell to EUR 38.1 mn from EUR 55.3 mn in 2007 ,negative
670,Finnish automation solutions developer Cencorp Corporation ( OMX Helsinki : CNC1V ) issued on Thursday ( 18 September ) a profit warning for the third quarter of 2008 ,negative
671,Finnish waste management and cleaning group Lassila & Tikanoja Oyj ( L&T ) net profit went down to 32.2 mln euro ( $ 47.7 mln ) for 2007 from 35.3 mln euro ( $ 52.3 mln ) for 2006 ,negative
672,000 euro ( $ 1.0 mln ) for the same period of 2007 ,negative
673, the Bank of +ï¿½land reports its operating profit fell to EUR 6.1 mn in the second quarter of 2008 from EUR 7.5 mn in the second quarter of 2007 ,negative
674,Subscription sales decreased slightly ,negative
675,The operating margin came down to 2.4 % from 5.7 % ,negative
676,Operating profit for 2009 lower than outlook published earlier ,negative
677,Finnish media company Talentum Oyj 's net profit decreased to 2.5 mln euro ( $ 4.0 mln ) for the first quarter of 2008 from 3.0 mln euro ( $ 4.7 mln ) for the same period of 2007 ,negative
678, down from EUR 6.3 mn in the corresponding period in 2009 ,negative
679, down from EUR 0.8 mn in the corresponding period in 2006 ,negative
680, compared to a profit of EUR 11.5 mn in 2008 ,negative
681, and the company held 9.89 percent of the market ,negative
682, paying off the national debt will be extremely painful ,negative
683, which overshadowed the large number of new orders received during the three months ,negative
684, released today ,negative
685,Operating profit was EUR 1.6 mn in 2005 compared to EUR 5.9 mn in 2004 ,negative
686,Operating loss amounted to EUR 0.7 mn compared to a profit of EUR 0.8 mn in the second quarter of 2005 ,negative
687, which saw EBIT drop to 5 mln eur from 20 mln eur a year amid a fall in volumes and tanker rates ,negative
688, down from EUR -1.7 mn ,negative
689, down from EUR 99.5 mn in the first half of 2009 ,negative
690,The Elcoteq group recently announced that the last three months of the previous year brought to it a major loss of more than half a billion kroons ( EUR 32 mln ) for the fifth quarter running ,negative
691, Coca-Cola 's market share has decreased by 2.2 % to 24.2 % ,negative
692, Konecranes ' sales decreased to EUR 368.7 mn from EUR 520.4 mn in July-September 2008 ,negative
693, casting a cloud over its planned initial public offering ,negative
694,The report contains category level company and brand share as well as distribution share information for 2007 and 2008 ,neutral
695,Autotank Group is part of Aspo 's Systems Division ,neutral
696,Cargotec will also move Hallberg-Ivarsson 's service and installation business under the same roof with its service center for Kalmar and MacGregor solutions in Gothenburg ,neutral
697, '' Nokia India vice-president & managing director D Shivakumar told reporters ,neutral
698,Electronic versions require 24-48 hours as each copy is customized to the client with digital controls and custom watermarks ,neutral
699,2010,neutral
700,The purchase sum is about EUR 10mn US$ 12.97 mn ,neutral
701, the company added ,neutral
702, would manufacture tools meant for glass and stone pre-processing ,neutral
703, the second largest mobile carrier in the country ,neutral
704,The value of the total investment is about EUR 600mn ,neutral
705, and operating profit EUR 3.88 mn ,neutral
706,The contract is worth some EUR 1 million ,neutral
707,Less than ten people will face pension agreements ,neutral
708, M-real will own 30 % in Metsa-Botnia and UPM -- 17 % ,neutral
709, which includes American Airlines and British Airways ,neutral
710,000 m2 and the project will be constructed in stages ,neutral
711,The per-share subscription price of the shares subscribed with the option rights was EUR 1.35 ,neutral
712, cowboy boots ,neutral
713,000 short tons ) in coated fine paper ,neutral
714,The sellers were the founders of the company ,neutral
715,000 square metres and it is valued at a total of around EUR75m ,neutral
716, the space has blond wood floors ( unlike the rest of the store ) and a notably Scandinavian vibe ,neutral
717,Lieksaare Oy has earlier been regarded under the control of Saarelainen Oy and the individual shareholders under the shareholder agreement ,neutral
718, and Belarus ,neutral
719, Ponten Fredrik and Lundberg Jorgen ,neutral
720,Also the development of online businesses will continue ,neutral
721,Kaupthing Bank will publish its annual results for 2007 before markets open on Thursday 31 January ,neutral
722, and stainless steel party dishes ,neutral
723,Amanda said that it had already made a USD5 .0 m investment commitment in Russia Partners II fund in July 2005 ,neutral
724,The machinery now ordered will be placed in a new mill with an annual production capacity of 40 000 m3 of overlaid birch plywood ,neutral
725, almost all the meat used by the company comes from Finland ,neutral
726, product development and production machines ,neutral
